PARK,ZIP,ACRES,WARD
BRANDS,60618.0,5.72,33
EVERGREEN,60657.0,0.15,44
MARTIN (JOHNNY),60657.0,0.15,44
KEN-WELL,60641.0,2.94,31
"BELL (GEORGE,JR.)",60634.0,4.36,36
PARK WEST,60614.0,0.21,43
MID-NORTH,60614.0,0.14,43
TREBES,60614.0,1.85,43
HERMOSA,60639.0,4.9,36
MOZART (AMADEUS),60647.0,4.91,26
EHRLER (WILLIAM),60647.0,0.98,32
PRIVET,60614.0,0.15,43
GREENEBAUM (HENRY),60639.0,4.59,26
CONNORS (WILLIAM),60611.0,0.33,42
COMMERCIAL CLUB PGD. of CHICAGO,60622.0,1.51,1
ADDAMS (JANE) MEML.,60611.0,5.78,42
PARK NO. 382,60620.0,0.77,21
GARIBALDI (GIUSEPPI),60607.0,2.55,28
MAGNOLIA,60624.0,0.24,24
HERITAGE GREEN,60661.0,1.11,42
BARTELME (MARY),60602.0,2.71,25
COTTON TAIL,60616.0,2.38,3
CORNELL (PAUL) SQUARE,60609.0,8.8,20
PARK NO. 569,60607.0,0.4,27
ANDERSON (FRED),60616.0,1.08,3
HARRISON (CARTER),60608.0,18.58,25
MULBERRY,60608.0,0.68,12
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",60608.0,0.74,12
MCKINLEY (WILLIAM),60609.0,72.09,12
HARDING (GEORGE),60615.0,0.75,3
SHERMAN (JOHN),60609.0,57.69,20
BUTTERNUT,60615.0,0.41,5
"SENKA (EDWARD ""DUKE"")",60629.0,18.83,14
BIXLER (RAY),60637.0,1.03,5
PARK NO. 573,60628.0,2.36,9
ADDAMS (JANE),60608.0,13.06,28
PARK NO. 581,60643.0,7.4,19
PARK NO. 580,60634.0,7.02,38
PARK NO. 565,60617.0,99.97,10
PARK NO. 578,60612.0,1.757,27
